Jobs.JobName,PrintActions.Destination,Jobs.PrismaJobID,PrintActions.OriginalPages,PrintActions.Copies,datetimeTS,datetimeTE,TimeDifference
424835.SD_040_8_Y_N2_1882_0152.PDF,ProStream02,1744,4640,232,2024-04-02 20:23:00,2024-04-02 20:35:00,12.0
413508.SK_064_8_Y_N1_1882_0395.PDF,ProStream02,1745,15520,485,2024-04-02 20:41:00,2024-04-02 21:15:00,34.0
414974.SK_168_8_Y_N1_1811_0265.PDF,ProStream01,1751,28980,345,2024-04-02 20:55:00,2024-04-02 21:43:00,48.0
407985.SK_096_8_Y_N1_1882_0480.PDF,ProStream02,1746,27360,570,2024-04-02 21:12:00,2024-04-02 21:46:00,34.0
414974.SK_168_8_Y_N1_1811_0265.PDF,ProStream01,1751,28980,345,2024-04-03 08:44:00,2024-04-03 09:11:00,27.0
407985.SK_096_8_Y_N1_1882_0480.PDF,ProStream02,1746,27360,570,2024-04-03 08:45:00,2024-04-03 09:23:00,38.0
418185.SK_072_8_Y_N1_1811_0345.PDF,ProStream01,1749,15660,435,2024-04-03 09:12:00,2024-04-03 09:47:00,35.0
420890.SK_136_8_Y_N1_1882_0211.PDF,ProStream02,1747,19788,291,2024-04-03 09:20:00,2024-04-03 10:25:00,65.0
428429.SK_160_8_Y_N1_1811_0175.PDF,ProStream01,1750,20400,255,2024-04-03 09:44:00,2024-04-03 10:50:00,66.0
419307.SK_096_8_Y_N1_1882_0215.PDF,ProStream02,1748,14160,295,2024-04-03 10:23:00,2024-04-03 10:54:00,31.0
403975_SK_304_8_N_N1_1811_0429.PDF,ProStream02,1756,78888,519,2024-04-03 10:51:00,2024-04-03 10:59:00,8.0
414855.SK_160_8_Y_N1_1811_0295.PDF,ProStream01,1754,29200,365,2024-04-03 11:00:00,2024-04-03 12:14:00,74.0
403975_SK_304_8_N_N1_1811_0429.PDF,ProStream02,1756,78888,519,2024-04-03 11:25:00,2024-04-03 14:48:00,203.0
428700.SK_144_8_Y_N1_1811_0155.PDF,ProStream01,1752,16920,235,2024-04-03 12:12:00,2024-04-03 12:48:00,36.0
419616.SK_176_8_Y_N1_1811_0220.PDF,ProStream01,1753,26400,300,2024-04-03 12:46:00,2024-04-03 14:10:00,84.0
428786.SK_100_8_Y_N2_1811_0130.PDF,ProStream01,1757,10500,210,2024-04-03 14:38:00,2024-04-03 15:03:00,25.0
425548.SK_200_8_Y_N1_1811_0620.PDF,ProStream02,1755,73000,730,2024-04-03 14:57:00,2024-04-03 17:48:00,171.0
428836.SK_100_8_Y_N2_1811_0135.PDF,ProStream01,1758,10750,215,2024-04-03 15:00:00,2024-04-03 15:24:00,24.0
417449.SK_100_8_Y_N2_1811_0135.PDF,ProStream01,1759,10750,215,2024-04-03 15:21:00,2024-04-03 15:46:00,25.0
402039.SK_272_9_N_N1_2012_0730.PDF,ProStream01,1575,114240,850,2024-04-03 16:15:00,2024-04-03 20:46:00,271.0
476020.SK_120_8_Y_N1_1881_0765.PDF,ProStream02,1760,52500,875,2024-04-03 18:16:00,2024-04-03 20:05:00,109.0
429082.SK_096_8_Y_N1_1881_0345.PDF,ProStream02,1761,20880,435,2024-04-03 20:02:00,2024-04-03 20:46:00,44.0
415732.SK_104_8_Y_N1_1881_0855.PDF,ProStream02,1762,50180,965,2024-04-03 20:53:00,2024-04-03 21:18:00,25.0
402039.SK_272_9_N_N1_2012_0730.PDF,ProStream01,1575,114240,850,2024-04-03 21:08:00,2024-04-03 21:25:00,17.0
402039.SK_272_9_N_N1_2012_0730.PDF,ProStream01,1575,114240,850,2024-04-04 07:42:00,2024-04-04 09:10:00,88.0
410567.SK_160_8_Y_N1_1811_0880.PDF,ProStream01,1765,81600,1020,2024-04-04 09:45:00,2024-04-04 12:23:00,158.0
415732.SK_104_8_Y_N1_1881_0855.PDF,ProStream02,1762,50180,965,2024-04-04 12:08:00,2024-04-04 12:15:00,7.0
410567.SK_160_8_Y_N1_1811_0880.PDF,ProStream01,1765,81600,1020,2024-04-04 12:24:00,2024-04-04 13:07:00,43.0
415732.SK_104_8_Y_N1_1881_0855.PDF,ProStream02,1762,50180,965,2024-04-04 12:33:00,2024-04-04 14:10:00,97.0
